iso_code,Country ,WHO Region,Continents,WorldPop,Case,Death,WPPM,CasePM,DeathPM,CFR,CFR100,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain
,Kiribati,WHO Western Pacific Region,Oceania,133515,0,0,0.133515,0,0,,,57.058,182.549,,22.1,6.761156,42,28.85,1555.85
,Kosovo,,Europe,,0,0,0,0,0,,,,155.895,,,13.964014,,12.9,2.39
KWT,Kuwait,WHO Eastern Mediterranean Region,Asia,4310108,0,0,4.310108,0,0,,,100,271.567,37.9,24.9,3.763919,41,27.3,70.88
KGZ,Kyrgyzstan,WHO European Region,Asia,6735347,0,0,6.735347,0,0,,,37.461,36.88,16.6,6.6,8.76728,41,0.98,488.95
LVA,Latvia,WHO European Region,Europe,1830211,0,0,1.830211,0,0,,,68.54,30.25,23.6,,33.8569,44,8.42,756.57
LBN,Lebanon,WHO Eastern Mediterranean Region,Asia,5353930,0,0,5.35393,0,0,,,89.262,564.369,32,8,15.478027,38,19.97,503.66
,Lesotho,WHO Region of Africa,Africa,2330318,0,0,2.330318,0,0,,,29.943,76.135,16.6,4.6,6.246217,40,11.45,622.11
LBR,Liberia,WHO Region of Africa,Africa,5418377,45,0,5.418377,8.30506995,0,,,53.065,57.029,9.9,2.1,5.7780304,39,26.09,1899.26
LBY,Libya,WHO Eastern Mediterranean Region,Africa,6888388,0,0,6.888388,0,0,,,81.302,4.358,32.5,8.7,7.2624836,43,23.49,20.81
,Liechtenstein,,Europe,39584,0,0,0.039584,0,0,,,14.538,,,6.1,30.794434,,6.02,1849.35
LTU,Lithuania,WHO European Region,Europe,2718352,0,0,2.718352,0,0,,,68.465,45.577,26.3,5.8,30.410069,48,9.02,2.01
,Luxembourg,WHO European Region,Europe,654768,0,0,0.654768,0,0,,,91.881,256.795,22.6,5.9,21.846792,31,9.73,1243.62
,Madagascar,WHO Region of Africa,Africa,30325732,0,0,30.325732,0,0,,,39.882,53.62,5.3,4.6,5.841431,37,18.89,4.35
,Madeira Islands,,Africa,,0,0,0,0,0,,,,,,,,,,
MWI,Malawi,WHO Region of Africa,Africa,20931751,0,0,20.931751,0,0,,,17.98,223.205,5.8,7.3,4.6197143,30,26.9,1351.45
,Malta,WHO European Region,Africa,535064,0,0,0.535064,0,0,,,94.875,1691.924,28.9,8,29.47845,30,21.02,270.63
,Marshall Islands,WHO Western Pacific Region,Oceania,41996,0,0,0.041996,0,0,,,78.52,215.706,,23,7.222856,32,28.71,7.8
,Martinique,WHO Region of the Americas,North America,366981,6944,0,0.366981,18921.96054,0,,,,326.417,,,40.15415,,,
MRT,Mauritania,WHO Region of Africa,Africa,4862989,2456,0,4.862989,505.0391847,0,,,56.923,4.873,12.7,2.1,5.981058,38,27.4,32.56
,Mayotte,,Africa,335995,64,0,0.335995,190.479025,0,,,,842.708,,,4.9611335,,,
,Micronesia,WHO Western Pacific Region,Oceania,544321,43,0,0.544321,78.99750331,0,,,23.217,160.901,,15.6,9.2319565,33,,
MDA,Moldova,WHO European Region,Europe,3435931,0,0,3.435931,0,0,,,43.173,93.275,18.9,5.6,24.235638,48,12.41,638.44
,Monaco,WHO European Region,Europe,36297,0,0,0.036297,0,0,,,100,26145.303,,6.2,70.11033,,,
,Mongolia,WHO Western Pacific Region,Asia,3447157,0,0,3.447157,0,0,,,68.93,2.204,20.6,6.9,7.7804265,43,1.85,417.12
,Montenegro,WHO European Region,Europe,626485,0,0,0.626485,0,0,,,68.164,45.87,23.3,9.1,27.187729,45,11.78,1540.89
,Montserrat,WHO Region of the Americas,North America,4386,2,0,0.004386,455.996352,0,,,,42.917,,,30,,,
MAR,Morocco,WHO Eastern Mediterranean Region,Africa,37840044,0,0,37.840044,0,0,,,64.596,84.5,26.1,9.1,11.831672,35,20.17,253.53
,Mozambique,WHO Region of Africa,Africa,33897354,0,0,33.897354,0,0,,,38.187,42.772,7.2,3.3,5.2719865,39,26.22,997.16
,Namibia,WHO Region of Africa,Africa,2604172,0,0,2.604172,0,0,,,53.956,3.599,17.2,6.7,6.0365663,44,23,239.82
,Nauru,WHO Western Pacific Region,Oceania,12780,0,0,0.01278,0,0,,,100,593.75,,23.4,4.6029267,42,28.78,3.39
NLD,Netherlands,WHO European Region,Europe,17618299,0,0,17.618299,0,0,,,92.886,537.333,20.4,4.5,31.145607,31,11.5,1020.09
,Nevis,WHO Region of the Americas,North America,,0,0,0,0,0,,,,,,,,,,
,New Caledonia,WHO Western Pacific Region,Oceania,292991,16,0,0.292991,54.60918595,0,,,72.325,15.857,,23.4,16.455742,,24.67,1152.17
NZL,New Zealand,WHO Western Pacific Region,Oceania,5228100,0,0,5.2281,0,0,,,86.884,19.527,30.8,6.2,25.889856,31,7.43,1551.12
NGA,Nigeria,WHO Region of Africa,Africa,223804632,0,0,223.804632,0,0,,,53.521,250.209,8.9,3.6,5.4580126,36,25.53,1641.27
,Niue,WHO Western Pacific Region,Oceania,1935,0,0,0.001935,0,0,,,,6.99,,,26.612904,40,26.34,1796.79
,Norfolk Island,,Oceania,,0,0,0,0,0,,,,,,,,,,
,North Korea,WHO South-East Asia Region,Asia,26160821,0,0,26.160821,0,0,,,62.916,219.402,,8.6,17.433237,27,6.23,1429.98
,North Macedonia,WHO European Region,Europe,2085679,0,0,2.085679,0,0,,,59.118,73.528,,6.1,26.74321,45,14.06,655.19
,Northern Mariana Islands,,Oceania,49796,1,0,0.049796,20.08193429,0,,,91.983,,52.9,23.4,12.735773,,28.36,1261.81
NOR,Norway,WHO European Region,Europe,5474360,0,0,5.47436,0,0,,,83.664,18.142,23.1,3.6,28.497911,31,5.79,1679.42
OMN,Oman,WHO Eastern Mediterranean Region,Asia,4644384,0,0,4.644384,0,0,,,87.75,16.314,27,13.8,3.6882658,46,29.76,99.04
PAK,Pakistan,WHO Eastern Mediterranean Region,Asia,240485658,40528,0,240.485658,168.5256424,0,,,37.731,321.067,8.6,30.8,7.1405497,43,21.48,515.35
,Palau,WHO Western Pacific Region,Oceania,18058,4,0,0.018058,221.5084727,0,,,81.956,38.538,,17,15.421456,44,28.7,2870.16
