who_region,Country ,WorldPop,WPPM,Hemisphere,Cases,Deaths,Cases/M,Deaths/M,CFR,Climate_Zone,WHO Region,Continents,Cases_Con,Deaths_Con,WorldPop,WPPM,CFR100,Climate_Zone,iso_code,WPPM,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
EUR,Israel,8900059,8.900059,Northern,0,0,0,0,,Subtropical,European Region,Asia,884639,1008,8900059,8.900059,,Subtropical,ISR,9.17452,92.763,427.682,26.1,8.5,20.655157,29,21.19,160.98,61
EUR,Italy,59240329,59.240329,Northern,213,0,3.595523583,0,,Subtropical,European Region,Europe,308,0,59240329,59.240329,,Subtropical,ITA,58.870762,71.657,201.029,19.9,6.4,38.002815,34,17.34,696.83,17
AFR,Ivory Coast,27478249,27.478249,Northern,6134,5,223.2311091,0.181962104,0.081512879,Tropical,African Region,Africa,168851,152,27478249,27.478249,0.000815129,Tropical,CIV,28.873034,52.661,98.005,10.3,2.1,4.5719395,37,26.81,1444.96,
AMR,Jamaica,2827695,2.827695,Northern,2034,1,719.3137874,0.35364493,0.049164208,Tropical,Region of the Americas,North America,1142666,934,2827695,2.827695,0.000491642,Tropical,JAM,2.825544,57.008,262.215,24.7,11.1,10.768036,46,27.65,1407.43,11
WPR,Japan,123294513,123.294513,Northern,0,0,0,0,,Polar,Western Pacific Region,Asia,884639,1008,123294513,123.294513,,Polar,JPN,123.294513,91.955,330.05,4.3,6.6,50.12053,31,9.94,2383.89,9
AMR,Jersey,,0,Northern,0,0,,,,Subtropical,Region of the Americas,North America,1142666,934,,0,,Subtropical,JE,0,,893.746,,,27.868473,,13.03,968.41,
EMR,Jordan,11337052,11.337052,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,11337052,11.337052,,Subtropical,JOR,11.337052,91.827,128.829,35.5,15.4,6.7059846,38,18.95,83.16,82
EUR,Kazakhstan,19196465,19.196465,Northern,0,0,0,0,,Polar,European Region,Asia,884639,1008,19196465,19.196465,,Polar,KAZ,19.606633,57.99,7.531,21,6.6,13.364349,42,5.96,229.71,71
AFR,Kenya,53005614,53.005614,Northern,4443,0,83.82130995,0,,Tropical,African Region,Africa,168851,152,53005614,53.005614,,Tropical,KEN,55.100586,29.002,95.292,7.1,4,4.875848,33,25.87,761.34,52
WPR,Kiribati,128874,0.128874,Southern,0,0,0,0,,Tropical,Western Pacific Region,Oceania,9640,0,128874,0.128874,,Tropical,KIR,0.133515,57.058,182.549,,22.1,6.761156,42,28.85,1555.85,126
